name;manual-runtime;manual-parsing;manual-execution
automata/03/pre.lsta;0.05; 0.000622083; 0.0646687
automata/04/pre.lsta;0.2; 0.000923927; 0.20034
automata/05/pre.lsta;0.55; 0.000854304; 0.553106
automata/06/pre.lsta;1.87; 0.00121575; 1.89914
automata/07/pre.lsta;4.9; 0.00139574; 4.9668
automata/08/pre.lsta;16.52; 0.00138515; 16.8697
automata/09/pre.lsta;TO;TO;TO
automata/10/pre.lsta;TO;TO;TO
automata/11/pre.lsta;TO;TO;TO
automata/12/pre.lsta;TO;TO;TO
automata/13/pre.lsta;TO;TO;TO
automata/14/pre.lsta;TO;TO;TO
automata/15/pre.lsta;TO;TO;TO
automata/16/pre.lsta;TO;TO;TO
automata/17/pre.lsta;TO;TO;TO
automata/18/pre.lsta;TO;TO;TO
automata/19/pre.lsta;TO;TO;TO
automata/20/pre.lsta;TO;TO;TO
automata/21/pre.lsta;TO;TO;TO
automata/22/pre.lsta;TO;TO;TO
automata/23/pre.lsta;TO;TO;TO
automata/24/pre.lsta;TO;TO;TO
